sk_d_disciplina,cod_disciplina,nome_disciplina
9efd53d9a96ce4168d9fa4e55221f265fc5b10d2cbcb806a1248704192b572ca,MAW123,Matematica Finita
b90babe3964a2495ba8ba166200357b1b0fadabe8411d6ec9edf07d754ff1326,FIW491,Tópicos de Física Geral I
13a55798abe1160cc2c97395b8a2dbc25307ec5c48dd9d4b17efbeb4fcf9d095,FIS121,Física Experimental II
d626ad5d04771bc3ed9c4729514456f98d80ec402e2e1aaa79001aff979ef3a2,FIT122,Física II - a
de0825e5e65d09ae3fa2cab7e695e97fbda1b37efc0533123192c2a5176920e3,FIM230,Fisica III - A
63df5d37f85b0a334df8972c1c2d280c9a8f1788c0c2bd84535b4178204f9965,FIW234,Métodos Comp em Física I
945c3038a764ea9cce5c589319aa549483074af7f5b56fca73228add1e4f6d98,FIWY03,Introdução à Pesquisa I
115abf0314592bfe2305808fca36d82fb6b8abbcf04cb653042c53f9b510315d,MAC238,Cálculo Diferen e Integral III
898d54638db9545918dfc09923b9d3caf9d22f043377ffdf333371b4f3d9f0e2,FIM240,Física IV - a
b6932588f8fb902e498afa5f378f0bac1843f76d74e55baeb3f7af9cb6893438,FIW245,Métodos da Física Teórica I
2e776085e7bae5de97896c28429522403ccd0a7b214cb4b0b9c843200efa9424,MAB242,Computação III
911a38c6ea44d9d3285d2d38413510f90c34085f171bb53680a709f3b3dad8da,MAB502,Programação Não Linear II
5b6323141ef883680d4b7583d24d2b226ec8b9f1e0b55d0ca0d5ec7a9bc49e2b,MAB364,Linguagens de Programação
33a23278da5aa6215b1a1f15f76e6739d81f07349de6843dd4b6d97c5df66c3d,MAB369,Arquitetura de Computadores II
a1bf55e8f86c5384eba3d1dccf5e04f9749f785503076e388883870e8df41f33,NCG011,Acessando a Mente e o Espaço
535637d15185e8b51a14096d3907252748b5cb412f6c29fe168cc7d79a78336f,EEW602,Evolucão Ciência e Engenharia
af38b7e9c5ce5494cbbefb269fd00dc818101855b3077d192a599d546fcf2ca8,MAB619,Tópicos Especiais em Redes I
240c712c777262bbada7db50b26dd654c0affb3a88dfe4bc7d41034c17503556,MAB513,Informática na Administração
d415d391d11b0d2a68d831442fb49f141af47764e48803bbc1a432477cc75af0,MAB516,Anál Num de Eq Dif Ordinárias
3f230ca59ad7ff113dfb2c39f2c70a85be4e4972266f89dcd0613e1a7228c4f1,MAA114,Algebra I
6f904cf605935af92e93713c9eead620c9c92cd971dfc4fd12ab852ccd8bb13d,MAE115,Cálculo Vetorial e G Analitica
90bb6c7d7670d3d1f3fcc50eab33d2a8e8cefabb7d8840dbd7aa7fbbc2a4da26,MAEX10,Seminário
b3cf6f23212df2ef217efb224602a58668ebae5ce1ea199744799b93e8dce287,EEW215,Tóp Esp História da Engenharia
2acd6e1f031dc3d4e604477c238eaf4d1e02dcbed4e6fc0f98074331d2df067f,NCG013,Redes Neurais Sem Peso
aea9e84df635af87059f375e2cf29037b34068fa9b590bf3723e9d4785372ed8,NCG005,Redes Sem Fio
ad46eeb3845a2b7de8e5ceebc4230a1850be2509cad64312f82f5341452fc98e,MAB532,Mineração de Dados
ec212d0ef8beb9a1912114468fe05da57670860dd4a0a6a4b1b575586e8b0c74,MAB632,Tóp Esp Sist Inteligentes II
e5c72647a606eab5583974b2d5ec50255f6edcca7cffb8d5008e00b5c4bc5419,MAB640,Projeto de Teste de Software
bcdcc140d5ee639565bca4bbd7feb0917a8c5c3b663bdc16cfa5f458f619b415,NCG024,Internet das Coisas
c7a4b41ef992acbc77019754a735a1f89b04f025a943d99c0814b4bcfe40971d,MAB639,Computação Quântica
c2da84a2d2cedddfc48a33f2ba72135ba8771e1ce7c019ca850541d2da59301f,MAB636,Algoritmos Paralelos
527a23a659082eaa1be3caa0e6f0d75621b5ff16d0712caf5bc85d4348af3eb8,NCG003,Gestão de Equipes Projetos Ti
2056b75da6cdccf822f31df3dcbc241f38783a663470e05bb26fc986faffd7b1,MAB522,Anál Num de Eq Dif Parciais II
1570cd549b5ab8b3366304475277564730679f3e84b524537d73e19adf5eec1a,MAB610,Computação Algébrica II
72aa90a22a77ffcad266a8418a6ea70d745cba883b00fc8e97c7a1b4ec2fd037,MAD233,Calculo das Probabilidades I
9d122b85f7abf9888b66600fa7ffa8fb7327be0dfee5b8b6ede7adb6006f01c9,EEK200,Introducao a Eng de Mecanica
360da3e1b2f0d85ea1bad36583ebef352127744ad1491102014be6f070735b01,IQG111,Quimica EE
610e56d79ba0298c673b502947ec7b773865cc7dab922220a002a36efc14560b,EEG105,Sistemas Projetivos
e362bdd6510e24291858e2cf5737893146b315463d47309e59f50af17291f48f,IQG112,Quimica Experimental EE
b501752949604804597d39e44fa49868200330b2d235ae93bb65b6a6d0d4299c,FIM231,Física III
3a04156996d42b930ed55f57137bf2db8026c209726bedcc8da4a0072fd84025,FIT121,Física II
647aa476e835c3b814f43166faeb58a35e7d89073f8c555f5d09bb8361b549c0,MAB001,Tópicos Esp em Comp Gráfica II
d41e5c30d0d0a0829f21e21d6cffaf82b85659c8e73ec6386bbb95503ff2551e,MAB005,Ética em Computação
2f3f955e243d03fa01148bbf99f67bb4fb206958d3308ae95d2184440e5330a7,NCG020,Segurança da Informação
4240c1d9397c0ff9183796621bd821417f7970b0ead39a6edb9bf4cc0eddc470,MAB500,Robos Sist Auton Inteligentes
5e5db8a1b4718c685bfeb3037640797e069648535676ede9ba8a27d58f4b1c56,COS110,Algoritmos e Programação
0f05f499c89f575af82abff2b775f5008311fbe5009b00c9233c9372c688862d,COS111,Introd Eng Comput e Informação
e03ce5af7858a47b3d36dfb2d0d0e8bef320dd3703c5a52b44a62a84428282f3,EEL280,Circuitos Logicos
b4c482efdfb97a2d11a36dedb2523d290d654fa91f1eae1888dcfecc263c2519,EEL670,Linguagens de Programacao
7421508c56eed5c1a876057ceb3f463785966e27228978875dc1977287ddf957,EEL881,Teoria da Computacao
837a71589404e79906a6775e256de7c55e0bd2b8f98a00bf7b40ad2fd63f6ac7,EEL470,Algoritmos e Estrut.de Dados
1054636451b2d4e7e01246a01eac94ebd97fd2a1d968c74ddf568f13e25ffba9,EEL873,Engenharia de Software
516e4ee88741772d876cea88529c5035956117c7d54b79683ecd3a8354f12a4a,COS471,Computadores e Sociedade
719dab6fef8ad2c83185195e0c93e58b70a50efea6ebed6e134d6b9957b4d54d,EEL770,Sistemas Operacionais
d08ba8439836e2880a40dcacf5e8a2155cdd68eac37f53c87ef0d5ca71024709,COP232,Gestão de Conhecimento I
32ce9e1b2a0f9b833b17a9bcb5315e4c2b27e3d5a4c6c524721d81ce9eca88dd,COS351,Lógica Matemática
445d9e1a977f41aebc8928539167c91ca1bc799a30b073448a610d82ef126dba,EEL871,Banco de Dados
f8c0515926ebfae0770e0b3daf40c03fc3cadc49d447ba83c783d7fc5fe6f87a,EEL878,Redes de Computadores I
b2bd824424aec792f3ce6239c0179a4bb8c40d8f66b68cbf330e44ddae83514b,MAC248,Calculo Diferen e Integral IV
b858a49c1cdd0254b0b5b833890ee4e6307e36375029da314b3a63a98ff6126d,MAB006,Internet das Coisas I
1131c255c54b3c5ffd869c314226ec19ca20cdb1c1338aff406a56b945bd70bf,MAB518,Teoria de Grafos
db94031d76f8e4b2cdd1fef53a1b138a2a351f7210b837b32eaaa73010f47b71,ODWZ05,Ativ Curricular Extensão V
accdec69de182d26d07e5a20290dadde443846dde9d218683109563ba9573e6d,MAB617,Lab Sistemas de Informação II
20be0c4c1216e207af46614c5d2bc2df74176a23e0c34fa5928c0f7033a99a3c,MAB609,Tópicos Esp em Banco de Dados
a8cff0b3f3cdc6991275d971f5fef3fdfbbf8d6393afbfc3ba792dfbbfa01d2c,EEH210,Engenharia e Meio Ambiente
a625e49d9118f37e9426b946c96420d81dfbca4dbafdf26619f20f574e41898b,EEI200,Introducao a Eng de Producao
63f0c7d669f897d432e0067ceed004da5adfe12ace88fe33a028e9e1a2a34a1e,MAB114,Computação I Ep
9cad6f51256a8cd6f3cf88f4bcd9d7dba685960e436a0f2b0e5de9b4a8231877,EEI212,Metodologia de Pesquisa
21e7a81c2dec7069f73a8a6fce4dc592f090d4581c65428dd6ebc6aeb28949b6,MAB225,Computação II Ep
c7e5dc741d0c66b21ac3e0b5c84b94c14e8c3b85235f196b70f847a86cfaf799,EEA212,Mecanica I
3df75e5c8c084fad62742e959052630ef74ca7de88831c1a49fed666d4416674,EET310,Princ de Ciencia dos Materiais
5ded892f61602f6801d242dd9c82ade15fa4a3d0fd6d3e702bb4cb98c1c58991,EEI206,Historia da Tecnologia
7c6bd71648a01a42f711b9363e9afc026e9adbb36fea9093633db8fbf66b438b,EEI533,Introducao a Economia
beb1ca3c7dab442be1b0365fa3b8fbaa39532209022a9aa1a6addfc9187c8e8f,MAD201,Probabilidade e Estatistica
a88dc7f220bac1920858e61fd291ace18f33e4ec84a5cb133b1f3b46525132c5,EEE390,Fundamentos de Eletricidade
1d3b6b446d06daba09a04066ffeb9eb94949c8d04ab10daf0bb8139a08acbd44,EEI325,Engenharia de Metodos
a4d5848684981a0e9e50466fdeecf550828a66de1f39c551a302fa53029b8aff,EEI541,Estatistica Aplicada I
d7ef0244d963c9a77f413663c970017347893fbb462d09f10ba4d85baad07421,EEI642,Estatistica Aplicada II
feddc963d728bbf80f3ff222c7aee62d0d75bde54709bc3bcff26d5c57746295,NCG002,Introdução à Programação I
020926b85a719c2b4f688a954df89ba48e961de3a47db173863cf91d030fcdb9,FIW492,Tópicos de Física Geral II
c914842d64e7e27559b9671d5dd18a113571c0afbd2bf30a414e55d1b2079a8e,IGT110,Introd Ciências Atmosféricas
b8d1bbd26422ae266b3f0feed18014b797c29ec8ca97f76dc898c2611a35a297,IGT114,Observação Atmosférica
6ce1304011c82009f8c14fef129408a269b2766a705db81666a39eec97242f29,BMH121,Histologia I B
cab2b35202d6e4d8db29f7126e06bdf64ea3d44e4cb6b757303bd360aee73d21,BMH120,Embriologia Geral I B
3fca60a9cd534b86921f059d7d0c985c3893ce7314dc142a7a4ebb6118d56b74,IBE121,Elementos de Ecologia
f41106aa50b48fdbdbb9fd45ca773be2ab0d5507b54616554914ab7a22cc292e,IBG231,Biologia Geral (Citologia)
8ca295f6ffb1b72a5a633a7ee6bf4ea489388082c3818a7189a9270bf0b021b5,FIN112,Fisica P/a Ciencias Biologicas
5b0e75be463871ec154b137fabf2ed23d996be3a78e8d839a113e1f1a36dc4e2,IBM351,Biologia Marinha Basica
4bb1cdcfa4f081cca038011958d0f0a3cb1da7e9cba53ccc91326a7a2c834472,IQG116,Complementos de Quimica I
b113b40e6eeb57905d7d78b4e35fa1478d8d38465fc69d420a88f4448261a597,MAWX01,Monitoria I
da375189b151dbe3b79310873379c98af6acdfc62fe42cecfbdf0ebb904f5740,LEG151,Alemao I
def4682d25ac08dff9e665120fd38abc76b1eef99aece13cdefac98ca732d330,MAE231,Calculo Infinitesimal III
e61b63b308a67225aa74afdd710dec0934132ddb89d060a4b4cf573605cc2b99,MAB488,Métodos Numéricos II
7d6d6e424507244a3babe5240270d9b1867bf4ee21afe443ee48f9be9bccbe35,IHI001,Hist Eco Soc e Pol do Bras I
