sk_d_aluno,sk_d_periodo,sk_d_curso,cr_periodo,cr_acumulado
4ea837ac2e51fbac23f73aff0a9dd25089f67d3e4b1b5355219dc8f254f4653d,450c1f373a2b971e85437f496ae5fd131d672c15404e1363ccd5c5cec36d1d02,e2a2eb78b69fdc4bdb2a025a4a76e1ae15881bda6350bc8c3e647078e0c01029,5.5,7.4
6a551776eeaddabe5d552ea403fabaaa81825f6f05d7d945439ccd4e7dc09029,208f704b48cbe8cef8cc02235b6f5a666c2d4089b93b0e0493996cfc93d05bb2,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,5.4,5.4
6a551776eeaddabe5d552ea403fabaaa81825f6f05d7d945439ccd4e7dc09029,4e25a94d6713e780a46c4e98864059d5c6eafa14d10faeadd48f6381b81931e5,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,4.4,5
6a551776eeaddabe5d552ea403fabaaa81825f6f05d7d945439ccd4e7dc09029,3640020b44be046a9c8f5393ab9def05bb71e4fe9961a4ccf0a9791d4bc2a3e7,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,2.5,4.2
6a551776eeaddabe5d552ea403fabaaa81825f6f05d7d945439ccd4e7dc09029,c081d2f2f93fbb27801cab73e1815a4ec3b248df144e41795653c6e40a958971,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,5.4,4.5
6a551776eeaddabe5d552ea403fabaaa81825f6f05d7d945439ccd4e7dc09029,94d0d0a6038beccb2e181b442fb951753cde4f38bd1dbc224344df853353ec29,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,5,4.6
6a551776eeaddabe5d552ea403fabaaa81825f6f05d7d945439ccd4e7dc09029,7c64b44d11c09947955009796478236ed86d3ae395bfa47bbe6a52bf0a5bcbad,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,6,4.8
6a551776eeaddabe5d552ea403fabaaa81825f6f05d7d945439ccd4e7dc09029,450c1f373a2b971e85437f496ae5fd131d672c15404e1363ccd5c5cec36d1d02,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,5.5,4.9
b830921ffa705bdb1983f575ecd2f8462c9cf5e3d695a3e28076452f343c4680,208f704b48cbe8cef8cc02235b6f5a666c2d4089b93b0e0493996cfc93d05bb2,e2a2eb78b69fdc4bdb2a025a4a76e1ae15881bda6350bc8c3e647078e0c01029,5.6,5.6
b830921ffa705bdb1983f575ecd2f8462c9cf5e3d695a3e28076452f343c4680,4e25a94d6713e780a46c4e98864059d5c6eafa14d10faeadd48f6381b81931e5,e2a2eb78b69fdc4bdb2a025a4a76e1ae15881bda6350bc8c3e647078e0c01029,1.8,4.6
b830921ffa705bdb1983f575ecd2f8462c9cf5e3d695a3e28076452f343c4680,3640020b44be046a9c8f5393ab9def05bb71e4fe9961a4ccf0a9791d4bc2a3e7,e2a2eb78b69fdc4bdb2a025a4a76e1ae15881bda6350bc8c3e647078e0c01029,6.8,5.2
b830921ffa705bdb1983f575ecd2f8462c9cf5e3d695a3e28076452f343c4680,c081d2f2f93fbb27801cab73e1815a4ec3b248df144e41795653c6e40a958971,e2a2eb78b69fdc4bdb2a025a4a76e1ae15881bda6350bc8c3e647078e0c01029,5.1,5.2
b830921ffa705bdb1983f575ecd2f8462c9cf5e3d695a3e28076452f343c4680,94d0d0a6038beccb2e181b442fb951753cde4f38bd1dbc224344df853353ec29,e2a2eb78b69fdc4bdb2a025a4a76e1ae15881bda6350bc8c3e647078e0c01029,7.4,5.7
b830921ffa705bdb1983f575ecd2f8462c9cf5e3d695a3e28076452f343c4680,7c64b44d11c09947955009796478236ed86d3ae395bfa47bbe6a52bf0a5bcbad,e2a2eb78b69fdc4bdb2a025a4a76e1ae15881bda6350bc8c3e647078e0c01029,6.7,5.9
b830921ffa705bdb1983f575ecd2f8462c9cf5e3d695a3e28076452f343c4680,450c1f373a2b971e85437f496ae5fd131d672c15404e1363ccd5c5cec36d1d02,e2a2eb78b69fdc4bdb2a025a4a76e1ae15881bda6350bc8c3e647078e0c01029,8.3,6
808c9cfebd38d4d93da5bb3b32be7e39cbb403672c5ce39b83bffe7d5660b114,208f704b48cbe8cef8cc02235b6f5a666c2d4089b93b0e0493996cfc93d05bb2,e2a2eb78b69fdc4bdb2a025a4a76e1ae15881bda6350bc8c3e647078e0c01029,5.4,5.4
808c9cfebd38d4d93da5bb3b32be7e39cbb403672c5ce39b83bffe7d5660b114,4e25a94d6713e780a46c4e98864059d5c6eafa14d10faeadd48f6381b81931e5,e2a2eb78b69fdc4bdb2a025a4a76e1ae15881bda6350bc8c3e647078e0c01029,6.9,6.1
808c9cfebd38d4d93da5bb3b32be7e39cbb403672c5ce39b83bffe7d5660b114,3640020b44be046a9c8f5393ab9def05bb71e4fe9961a4ccf0a9791d4bc2a3e7,e2a2eb78b69fdc4bdb2a025a4a76e1ae15881bda6350bc8c3e647078e0c01029,5.3,5.9
808c9cfebd38d4d93da5bb3b32be7e39cbb403672c5ce39b83bffe7d5660b114,c081d2f2f93fbb27801cab73e1815a4ec3b248df144e41795653c6e40a958971,e2a2eb78b69fdc4bdb2a025a4a76e1ae15881bda6350bc8c3e647078e0c01029,5.9,5.9
